submitted (unix timestamp),r1m1,r1m1Games,r1m2,r1m2Games,r1m3,r1m3Games,r1m4,r1m4Games,r1m5,r1m5Games,r1m6,r1m6Games,r1m7,r1m7Games,r1m8,r1m8Games,r2m1,r2m2,r2m3,r2m4,r3m1,r3m2,r4m1,SCF goals
1554665270,TBL,5,BOS,5,WSH,6,NYI,6,CGY,7,VGK,7,DAL,7,STL,6,BOS,WSH,VGK,STL,BOS,STL,BOS,69
1554665271,TBL,5,BOS,6,WSH,5,PIT,6,CGY,5,VGK,7,NSH,6,STL,7,BOS,PIT,VGK,STL,BOS,STL,BOS,35
1554665273,TBL,5,BOS,6,WSH,6,NYI,7,CGY,5,SJS,7,NSH,6,STL,7,TBL,NYI,CGY,STL,TBL,CGY,TBL,54
1554665274,TBL,4,BOS,7,WSH,6,PIT,7,COL,6,SJS,5,NSH,7,STL,6,TBL,PIT,SJS,NSH,TBL,SJS,TBL,41
1554665274,TBL,5,BOS,6,CAR,7,PIT,6,CGY,5,SJS,7,NSH,6,STL,7,TBL,PIT,CGY,NSH,TBL,NSH,NSH,25
1554665275,TBL,4,TOR,7,WSH,5,NYI,6,CGY,5,SJS,6,NSH,5,WPG,6,TBL,WSH,SJS,NSH,TBL,NSH,NSH,36
1554665276,TBL,5,BOS,7,WSH,6,NYI,6,COL,5,SJS,5,NSH,4,WPG,4,TBL,NYI,SJS,NSH,TBL,SJS,TBL,22
1554665282,TBL,5,BOS,6,WSH,5,NYI,7,CGY,4,SJS,5,NSH,5,WPG,6,TBL,NYI,CGY,NSH,TBL,CGY,TBL,35
1554665283,TBL,6,TOR,7,WSH,5,PIT,5,CGY,5,SJS,7,NSH,6,WPG,6,TBL,WSH,CGY,WPG,TBL,WPG,TBL,28
1554665284,TBL,6,BOS,5,CAR,6,PIT,6,COL,7,VGK,7,NSH,5,STL,6,BOS,PIT,VGK,NSH,PIT,VGK,VGK,38
1554665284,TBL,4,BOS,5,WSH,6,PIT,6,COL,7,VGK,5,NSH,6,WPG,7,TBL,PIT,VGK,WPG,TBL,VGK,VGK,44
1554665285,TBL,5,TOR,6,WSH,5,NYI,7,CGY,6,VGK,6,NSH,6,WPG,5,TOR,WSH,VGK,WPG,WSH,VGK,VGK,38
